Code,New code,Area name,Inner/ Outer London,GLA Population Estimate 2015,GLA Household Estimate 2015,Inland Area (Hectares),Population density (per hectare) 2015,"Average Age, 2015","Proportion of population aged 0-15, 2015","Proportion of population of working-age, 2015","Proportion of population aged 65 and over, 2015",Net internal migration (2014),Net international migration (2014),Net natural change (2014),% of resident population born abroad (2014),Largest migrant population by country of birth (2011),% of largest migrant population (2011),Second largest migrant population by country of birth (2011),% of second largest migrant population (2011),Third largest migrant population by country of birth (2011),% of third largest migrant population (2011),% of population from BAME groups (2013),% people aged 3+ whose main language is not English (2011 Census),"Overseas nationals entering the UK (NINo), (2014/15)","New migrant (NINo) rates, (2014/15)",Largest migrant population arrived during 2014/15,Second largest migrant population arrived during 2014/15,Third largest migrant population arrived during 2014/15,Employment rate (%) (2014),Male employment rate (2014),Female employment rate (2014),Unemployment rate (2014),Youth Unemployment (claimant) rate 18-24 (Dec-14),Proportion of 16-18 year olds who are NEET (%) (2014),Proportion of the working-age population who claim out-of-work benefits (%) (May-2014),% working-age with a disability (2014),Proportion of working age people with no qualifications (%) 2014,Proportion of working age with degree or equivalent and above (%) 2014,"Gross Annual Pay, (2014)",Gross Annual Pay - Male (2014),Gross Annual Pay - Female (2014),Modelled Household median income estimates 2012/13,% adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2013),% of employment that is in public sector (2013),"Jobs Density, 2013","Number of active businesses, 2013",Two-year business survival rates (started in 2011),Crime rates per thousand population 2014/15,Fires per thousand population (2014),Ambulance incidents per hundred population (2014),"Median House Price, 2014","Average Band D Council Tax charge (Â£), 2015/16",New Homes (net) 2013/14,"Homes Owned outright, (2014) %","Being bought with mortgage or loan, (2014) %","Rented from Local Authority or Housing Association, (2014) %","Rented from Private landlord, (2014) %","% of area that is Greenspace, 2005",Total carbon emissions (2013),"Household Waste Recycling Rate, 2013/14","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2013/14","Average Public Transport Accessibility score, 2014","Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2013/14",Rates of Children Looked After (2014),% of pupils whose first language is not English (2014),% children living in out-of-work households (2014),"Male life expectancy, (2011-13)","Female life expectancy, (2011-13)",Teenage conception rate (2013),Life satisfaction score 2011-14 (out of 10),Worthwhileness score 2011-14 (out of 10),Happiness score 2011-14 (out of 10),Anxiety score 2011-14 (out of 10),Childhood Obesity Prevalance (%) 2013/14,People aged 17+ with diabetes (%),Mortality rate from causes considered preventable,Political control in council,Proportion of seats won by Conservatives in 2014 election,Proportion of seats won by Labour in 2014 election,Proportion of seats won by Lib Dems in 2014 election,Turnout at 2014 local elections
E09000001,E09000001,City of London,Inner London,8200,4700,290.39340000000004,28.237556363195576,41.90812984096708,10.975609756097562,71.95121951219512,17.073170731707318,138.0,252.0,35.0,.,United States,2.7796610169491522,France,1.9932203389830507,Australia,1.8576271186440678,22.557237582885026,17.13810316139767,892,150.80304311073542,France,United States,India,.,.,.,.,1.1655011655011656,.,5.4,.,.,.,.,.,31328,99390.0,.,460700,6.167176350662589,81.08060542062654,17775,63.800000000000004,.,12.278481012658228,.,765000,943.44,440,.,.,.,.,4.8,1417.533467243865,38.80153384514708,1692,0.38586088939566704,.,7.862302333101632,78.6,87,.,9.080590238365494,.,.,.,6.59,7.08,5.99,5.57,,2.63794513426049,124.582651279693,,,,,
E09000002,E09000002,Barking and Dagenham,Outer London,203600,74010,3610.7817000000005,56.38668214143214,32.8818787177727,27.116141732283467,63.28740157480315,9.596456692913385,-1118.0,2543.0,2509.0,37.38330566681388,Nigeria,4.676969087359005,India,2.3473597581638526,Pakistan,2.3328366799167344,45.71235720641024,18.724200908013533,7727,61.73500367517817,Romania,Bulgaria,Lithuania,63.58221740922425,72.48157248157248,55.14070201407808,11.503433281196267,7.251566696508505,5.7,16.7,21.829839864600963,15.407453073541102,29.440776131994355,27252,29975,24297,34080.0,20.529706026693358,54300,22.2,0.4433702672469401,5055,72.5,83.35905985016876,3.030150753768844,13.669346733668341,215000,1331.67,730,16.43791104525722,27.354493228313707,35.91723205698095,20.290363669448126,33.6,783.1863427690324,24.80342105203474,56966,0.8175255808613539,6.5117188932767665,2.970625856764648,58,80,44.69406674907293,22.478213711336352,77.7,82.4,40.1,7.14,7.6,7.05,3.05,26.224199999999996,7.272107818489,218.466875920603,Lab,0,100,0,36.49736244839152
E09000003,E09000003,Barnet,Outer London,383100,144180,8674.831400000001,44.162241585467584,37.09090897554124,20.903361344537817,65.30987394957984,13.760504201680673,-1884.0,4770.0,2938.0,35.90862726150212,India,3.06184866970083,Poland,2.417042195821385,Iran,2.0320663550195577,37.1488109234499,23.405036556600308,14412,59.08785279695623,Romania,Poland,Italy,70.16708014992368,77.45329954793793,63.20211156532656,4.767553703109971,3.4746554543330994,2.5,9.4,13.516029725748524,7.000415540387646,43.707443110052374,32044,36963,28056,54530.0,33.176557991161495,159400,19.06677393403057,0.6623507217711441,23135,72.10000000000001,62.738425524536154,1.624,11.113066666666667,400000,1397.07,1110,32.39007273657663,25.155159179794584,11.074966190284732,31.082276398991194,41.3,1552.6552039280552,36.350307459856005,144717,1.064753229936137,12.089733874293747,2.9967009173143775,67.3,36,43.187432286023835,10.797310763253826,81.9,85,10.2,7.48,7.76,7.37,2.75,19.4135,6.02608418461233,137.312663047376,Cons,50.79365079365079,47.61904761904761,1.5873015873015872,40.480992363191426
E09000004,E09000004,Bexley,Outer London,240600,95180,6058.0668000000005,39.715639979407285,38.88176477070958,20.90606816292602,62.42726517040732,16.666666666666664,1273.0,699.0,1195.0,16.06480462067447,Nigeria,2.5909817799368096,India,1.4668293124480056,Ireland,0.9064772389298138,19.62009529325718,6.031288965436817,2108,13.986756372997863,Romania,Nigeria,Poland,75.21377962374787,83.37049527578807,67.47056488953565,5.424595049026952,3.780993237839017,3.4000000000000004,10.8,17.818860035662315,5.950673931746487,32.955057560735796,32724,35203,27430,44430.0,22.134479975063144,80300,17.43515850144092,0.539277247604145,7830,76.7,51.82794154305052,2.2696817420435513,11.75502512562814,250000,1445.53,530,38.08545216251638,35.31847968545216,15.212581913499346,11.383486238532111,31.7,1060.908541112613,55.21000105523891,108507,1.1717312427108981,9.202594947963181,2.552133576475213,60.3,46,14.117489629332264,15.427343496594226,80.3,84.3,23.3,7.38,7.7,7.21,3.29,22.5264,6.8593834024223,165.088684572054,Cons,71.42857142857143,23.809523809523807,0,39.63082937726892
E09000005,E09000005,Brent,Outer London,325300,115420,4323.2637,75.24408006849085,35.36051876171725,20.743700061462814,68.3159188690842,10.909649661954518,-6932.0,6717.0,3694.0,56.19462008092583,India,9.173079703741786,Poland,3.3979724627668975,Ireland,2.8504410134472953,64.94814130051188,37.15111977940682,25130,114.92255418006211,Romania,Italy,Portugal,68.0090983298328,75.53779743855019,60.04077856859673,7.022751565124446,6.09714088873579,2.6,12.3,16.655005431680507,7.805479855638212,46.029130146571404,30648,31917,27678,39630.0,17.25858577059226,122400,18.99641577060932,0.5624172915747684,13915,73.9,78.80188108326189,1.8210068365444374,12.079241765071473,385000,1353.94,730,22.230706820025773,22.648308118169236,20.36462559060755,34.75635947119744,21.9,1292.5663481729262,40.80861227629694,87802,0.7961300618392181,11.657687458037893,3.6537128202440843,60.1,48,61.95572422517394,16.033539700667188,80,84.9,18.2,7.25,7.35,7.22,2.92,24.4424,7.92034754250218,165.008270273551,Lab,9.523809523809524,88.88888888888889,1.5873015873015872,36.27198113468253
E09000006,E09000006,Bromley,Outer London,324600,136660,15013.489200000002,21.620557065442185,40.06647437795251,19.895287958115183,62.55004619648906,17.55466584539575,1169.0,728.0,1486.0,17.180779622987345,India,1.1228473910120493,Ireland,1.0523866163313853,Nigeria,0.7430702797745256,16.897746967071058,5.792821368386708,2778,13.804687034129083,Romania,Italy,Poland,74.80723005961751,80.21091682124174,69.82822356860974,5.257533531272579,3.496274996732453,4.3,9.4,15.84872950117424,3.7155111580443516,45.808789305894074,36546,41626,.,55140.0,28.972584305037675,131600,14.571428571428571,0.6586685485768055,14065,76.60000000000001,64.1335770165996,2.3320895522388057,11.244713930348258,335000,1325.14,150,37.770923390970225,34.91684678194044,13.166426512968298,14.14580331412104,57.8,1334.723085493085,49.631050710626006,153908,1.1761091837202549,12.184635172822453,2.779858886632114,68,38,10.124452638856878,12.072023987064567,81.3,84.9,19.5,7.54,7.86,7.44,3.26,15.362399999999997,5.24238860549534,145.58724216588,Cons,85,11.666666666666666,0,40.83397800915651
E09000007,E09000007,Camden,Inner London,237400,102840,2178.9295,108.95258428508127,36.01275994647845,15.964616680707666,72.57792754844145,11.457455770850885,-2790.0,6288.0,1642.0,42.35004579251434,United States,2.8429049914222695,Bangladesh,2.699035118772068,Ireland,2.3650028592435257,34.566852599409806,23.46326306409102,10703,63.91758733950432,Italy,France,Spain,66.40445161407261,72.93818199532346,59.97170297718253,7.167820800416139,5.029169181251257,4.3999999999999995,11.9,18.82599503855507,6.202533939932211,60.4737996411158,37071,.,34139,67990.0,21.91788769977077,356400,13.034188034188036,2.1612443528091934,27530,71.4,123.49870929265755,2.695763799743261,14.803166452717159,675000,1337.1,450,18.54224297175837,15.111523651101452,34.385310308700404,31.960923068439772,24.8,1540.5432829026877,29.322846196306777,46601,0.47779235958742594,15.073814763750857,5.690268566447012,62.7,54,54.29475349327709,19.100032372936226,81.1,86,17.2,7.14,7.38,7.11,3.61,21.0072,3.858989428197,179.399666906131,Lab,22.22222222222222,74.07407407407408,1.8518518518518516,38.67946405565576
E09000008,E09000008,Croydon,Outer London,380700,152750,8650.3635,44.00971126820278,36.78376573376591,22.0792859018115,65.05644526122342,12.864268836965081,-2362.0,2189.0,3443.0,29.738507105523908,India,3.638084859292527,Jamaica,2.5428066641348677,Ghana,1.475873608198625,47.242205592246336,14.495267729058368,7902,32.276115592770346,Romania,Poland,Bulgaria,73.08060870134976,83.67805452709526,63.033697108941226,7.822138450993831,5.318577414849039,3.3000000000000003,12.4,18.210018382352942,6.961325514349364,40.65735159218975,32000,33388,29124,45120.0,27.18704922435445,129500,19.00972590627763,0.5315240991795238,13515,74.9,77.03513327896296,2.226645435244161,12.797505307855625,265000,1466.39,1300,30.77001109526074,33.574893009985736,16.722776985259152,18.63623395149786,37.1,1452.1667619011184,42.15597139786462,140049,0.965788566305772,6.845690375879777,3.2240803618998006,57.7,86,29.08842680109221,16.469221553987826,80,83.5,32.5,7.1,7.57,7.18,3.3,22.8462,6.48370387558271,173.515096840304,Lab,42.857142857142854,57.14285714285714,0,38.600786351459895
E09000009,E09000009,Ealing,Outer London,349700,128740,5554.4305,62.95874977641722,35.94978436674921,20.840480274442537,67.75300171526587,11.377930245854774,-6391.0,2291.0,3708.0,45.48610705226367,India,7.628918980407683,Poland,6.354576317259025,Ireland,2.26474298934256,52.35216339880652,33.87848658024748,15143,65.83397821040091,Poland,Romania,Italy,68.15009734077829,76.02755453501722,60.173942994919486,7.840104527282067,5.205638903259183,3,11.4,16.483252356344533,10.091317532450796,47.99496593847449,30137,30851,29081,45690.0,32.07985673517493,151600,15.675241157556268,0.6522786727247694,16310,76.7,75.47577475809796,1.8885359514871498,11.323419000866302,388000,1354.93,770,20.118139125330202,30.239947167596128,14.280158497211623,34.97431758144995,30.9,1567.2701200935278,40.151032923989874,112845,0.9094389194242517,13.355881262955558,3.302496438347966,62.1,49,59.63179916317992,14.990562008294411,79.9,84.3,15.4,7.29,7.57,7.26,3.57,23.0116,6.91938939093805,166.079291409095,Lab,17.391304347826086,76.81159420289855,5.797101449275362,41.17554580094245
E09000010,E09000010,Enfield,Outer London,329000,125650,8083.1971,40.70171689862666,36.08603677550841,22.569866342648844,64.70230862697449,12.697448359659782,-1892.0,2983.0,2948.0,32.763855138597755,Turkey,4.470246362804273,Cyprus (Not otherwise specified),3.5571870219479877,Poland,1.9237293017480301,41.23426770793919,22.853150235814198,9593,45.78582372004448,Romania,Bulgaria,Poland,68.98094743722844,76.27194331702573,62.13263736775877,7.077146238118869,7.321759872780282,3.1,14.0,19.009502343076488,7.713835675165341,40.915024494101665,30410,31643,28721,41250.0,22.43595658778519,115700,23.451776649746193,0.5581013940475616,12065,71.2,69.37390023835968,2.2283779624499847,12.160049245921822,285000,1395.34,510,25.597664551553056,36.21079539868253,17.195949267525318,20.995590782239095,45.6,1397.5274869988966,39.11821879619341,119653,0.9978067980919977,7.883948216331138,2.97148779846641,59.9,37,45.84126320192408,20.474005908057556,80.6,84.3,23,7.26,7.57,7.33,2.6,24.6361,7.04238238338663,151.028883610909,Lab,34.92063492063492,65.07936507936508,0,38.179488889100554
E09000011,E09000011,Greenwich,Outer London,273000,107210,4733.386699999999,57.675406068133,34.91362805030942,21.761658031088082,67.61658031088082,10.621761658031089,-1262.0,2793.0,2895.0,32.90461642269413,Nigeria,5.112018133463232,Nepal,1.9064492431950408,India,1.7155293313481854,39.598293623158625,16.863970207923863,7184,39.509431886927345,Romania,Nigeria,Bulgaria,66.74435762433349,72.08715291616846,61.29698611581442,10.492606539977027,6.163990825688073,5,13.9,20.450684577047262,10.539141710542495,40.705031467632494,30800,32969,28479,44370.0,17.412374081894324,83400,27.30923694779116,0.46639078402863215,8320,73.3,79.37638253386261,2.544023979018359,11.890970400899214,317000,1276.04,1110,19.242220956091824,26.894447609770445,34.15243801576945,19.710893418368286,34.4,1004.4570845514909,38.830951108793286,78185,0.7737641644811718,11.606152443330885,3.4434088511348016,58.8,85,38.71869718850822,19.44809013277881,78.7,82.8,24.5,7.2,7.55,7.2,3.4,25.4133,6.1311738295813,196.108948104396,Lab,15.686274509803921,84.31372549019608,0,37.25432930181418
E09000012,E09000012,Hackney,Inner London,265300,108730,1904.9024999999997,139.27221996926355,32.79462716650953,20.535041446872647,72.23059532780708,7.234363225320271,-226.0,2592.0,3405.0,38.88679940436898,Turkey,3.6472164697283467,Nigeria,2.717342753888009,Jamaica,1.8045234904779308,45.74297705194,24.0877220683563,9424,49.650695973783755,Italy,Spain,France,68.18346627991299,70.58728656831964,65.8187010789084,8.39983377823481,6.285973947288701,3,15.1,17.191204651011724,9.345020879575637,48.46050078735079,32269,32921,31757,42690.0,29.63917550085033,123300,13.548387096774192,0.6647652834013554,14180,75.4,99.64682433298753,2.660550458715596,11.453363914373089,433000,1293.45,1130,11.077852483327723,19.75471509284616,45.435025884108335,23.272042433561086,23.2,877.7841550386127,25.441844028095993,41800,0.41105320090471037,24.108132241177856,4.916681944525086,60.6,56,50.94158835452368,21.663698617562282,78.2,83.2,24,7.03,7.31,6.99,3.76,26.078971533516988,5.77477024624916,225.165805499335,Lab,7.017543859649122,87.71929824561403,5.263157894736842,39.39257245963045
E09000013,E09000013,Hammersmith and Fulham,Inner London,181700,80630,1639.7452999999998,110.80989224363077,35.40562555507155,17.226197028068242,72.8673637864612,9.906439185470555,-3248.0,1277.0,1681.0,41.52506829594532,France,2.7272278936726337,Ireland,2.6696914402196246,Australia,2.521192593688525,33.45487895161379,22.687384590758114,10114,78.14926710915708,Italy,Spain,France,76.00267997412439,84.11480534242682,68.27695083446098,5.3460988429322285,3.6026515515419346,2.5,11.6,13.238630141272548,4.96351944599023,67.00519384158783,36823,39170,32740,62910.0,30.481890364872587,141500,16.70498084291188,1.081738119992661,12850,73.0,113.22718750874444,1.9955654101995566,12.20620842572062,661000,1022.81,630,19.089270375881632,21.837912387035892,25.936679611415574,33.1361376256669,19.1,971.336623467994,20.53495085121528,43843,0.544025313314307,24.033719578204565,4.669039272607919,60.5,60,45.33041027247103,17.830609212481427,79.1,83.5,21.3,7.41,7.53,7.16,3.09,22.449,4.41130118240843,208.574267996514,Lab,43.47826086956522,56.52173913043478,0,37.6267577586471
E09000014,E09000014,Haringey,Inner London,271000,109030,2959.8387,91.55904340327736,34.764121775473576,19.74169741697417,71.07011070110701,9.22509225092251,-4412.0,5559.0,3006.0,39.62773839104566,Poland,4.2620211355452176,Turkey,3.9603649686575713,Jamaica,2.026078156013902,40.0025087330518,29.71489518808713,17549,92.73262419217619,Romania,Bulgaria,Italy,67.82394692343317,74.83725427006122,60.77383266381582,8.220050977060323,7.072595723924884,3.5000000000000004,14.0,16.134936378681104,11.89134471204075,45.952222420709035,30684,31660,30327,45860.0,29.848951257837737,82900,17.511520737327192,0.4441372807440505,11020,73.60000000000001,90.21360284905045,2.091893911094509,12.290250280164363,405000,1479.32,470,17.951294586275573,24.74741988049973,33.35687126561651,23.94441426760818,25.5,891.612130840036,35.8140939215322,61515,0.6033544210681183,15.227888114039171,4.308367796684827,59.7,87,52.2827156444736,19.459822177487,80.1,84.7,20.9,7.24,7.5,7.19,3.18,22.8438,5.89087570948652,179.818937139665,Lab,0,84.21052631578947,15.789473684210526,38.10392411482491
E09000015,E09000015,Harrow,Outer London,249800,88720,5046.2744,49.501866168831405,37.93726802711351,20.72829131652661,64.42577030812325,14.80592236894758,-2606.0,3030.0,2182.0,50.67168167224872,India,9.010022756174285,Kenya,4.896760591660532,Sri Lanka,4.3470985877785955,60.20978821883376,28.486298921525034,11239,70.54710254092599,Romania,Poland,India,72.6854825505976,84.34300930752515,60.96553814292389,4.984487617724377,4.322625012280184,1.5,9.0,11.96068758775092,3.653606377753429,52.01634740116623,31308,34497,27499,49060.0,38.877607190911114,78500,15.481171548117153,0.49577799250964716,12970,75.10000000000001,50.39610144141479,1.3406237343053868,9.837181044957473,370000,1529.36,300,33.49711662939861,32.75273625985642,8.91098819191087,24.606723941783372,34.6,837.6993419368702,49.15304255444726,100326,1.1905586936915555,5.133208270428863,2.8701959962968693,66.4,30,60.2145998240985,10.547014658562746,82.4,85.9,14.3,7.33,7.42,7.31,2.71,20.7968,8.45795437016747,132.138268067204,Lab,41.269841269841265,53.96825396825397,1.5873015873015872,40.68432295298918
E09000016,E09000016,Havering,Outer London,247700,100110,11234.9666,22.047239552986298,40.323984928350654,19.336569579288028,62.055016181229774,18.567961165048544,2244.0,673.0,977.0,11.863192506149629,Ireland,1.055085317326499,India,0.9699366021447359,Nigeria,0.9446449045659946,13.600234166934639,4.566008747042853,2459,16.048818692076754,Romania,Lithuania,Bulgaria,75.85187510628,86.56825371076324,65.80761238659977,6.882629181595101,3.7539988248351506,4,10.9,16.991805830645003,8.685729275970619,25.65844700944386,31087,34149,28527,44430.0,16.93825794532388,90300,22.07792207792208,0.5963190670215084,8865,75.10000000000001,62.92547918043621,2.532679738562092,12.917075163398692,250000,1514,160,35.15473014981649,33.88219249513648,17.20984336455346,13.753233990493571,59.3,1161.2066312322656,31.513800183226927,117634,1.210238788464902,9.188034188034187,2.5045691880487477,59.8,40,11.08833283087127,15.32688883235818,79.8,83.8,26.2,7.39,7.65,7.21,3.28,20.6148,5.90837148384245,162.468614915716,No Overall Control,40.74074074074074,1.8518518518518516,0,43.067141729427576
E09000017,E09000017,Hillingdon,Outer London,296500,106600,11570.113700000002,25.62636873654923,36.21943742188634,21.17329737019555,65.7788267026298,13.01416048550236,-800.0,3970.0,2636.0,33.13743140845896,India,5.700966649144325,Pakistan,1.7613603177384498,Ireland,1.5781058349395478,42.39584057870209,18.762238109233596,6554,34.10557428916365,Romania,India,Poland,71.89056287926344,80.46824854001157,63.41014304291287,6.504450413440775,3.2334697109674013,2.4,10.0,14.892489479814886,9.454900848072132,39.82576163603308,31229,33399,28211,44950.0,23.755727541237864,213000,11.5,1.1293803254524148,11630,76.60000000000001,76.61973598878686,2.5530458590006844,14.708076659822039,307000,1407.93,550,22.238195585398955,32.9630687906279,16.5529680691478,28.245767554825346,49.2,1998.439356140752,43.148652676485476,122486,1.2222443969904404,13.310146626153482,2.3630936504441853,62,55,41.032561594651476,14.345352267049211,80.4,83.7,23,7.37,7.68,7.28,3.47,19.835,6.36347348139505,169.310039137858,Cons,64.61538461538461,35.38461538461539,0,36.06353041568988
