,Unnamed: 1,2017,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50,column51,column52,column53,column54,column55,column56,column57,column58,column59,column60
0,London,3530,1,2,4,8,16,32,64,128,256,512,1019,2028,4017,7888,15232,28571,50615,82063,117095,145408,162082,169130,170390,167807,160916,147751,125764,94277,59127,30561,13381,5323,2072,780,319,129,40,15,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,City of London,160,1,2,4,8,16,32,64,128,254,496,954,1743,2943,4522,5991,7025,7530,7705,7673,7479,7036,6251,5052,3469,1992,942,405,166,72,24,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Barking and Dagenham,20,1,2,4,8,16,32,63,118,214,358,545,729,854,932,962,961,934,882,786,642,454,269,142,60,22,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Barnet,80,1,2,4,8,16,32,64,126,244,473,870,1470,2244,2991,3505,3775,3850,3844,3748,3525,3128,2528,1752,1001,479,193,86,30,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bexley,95,1,2,4,8,16,32,63,126,246,472,877,1527,2399,3311,4047,4455,4582,4582,4489,4270,3866,3218,2345,1430,686,262,104,41,14,7,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Brent,70,1,2,4,8,16,32,64,127,246,463,832,1391,2079,2712,3119,3322,3381,3349,3245,3035,2666,2106,1416,779,364,145,54,23,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Bromley,95,1,2,4,8,16,32,64,127,248,485,893,1554,2419,3353,4026,4425,4571,4584,4481,4257,3854,3193,2326,1388,707,293,115,39,21,8,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Camden,235,1,2,4,8,16,32,64,127,251,493,961,1804,3227,5263,7589,9527,10718,11230,11357,11204,10769,9937,8518,6479,4145,2191,968,393,142,53,19,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Croydon,85,1,2,4,8,16,32,64,126,248,481,887,1512,2323,3130,3708,3989,4105,4089,3991,3764,3359,2736,1923,1112,526,229,81,35,11,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Ealing,95,1,2,4,8,16,32,64,126,248,480,891,1561,2426,3326,4048,4424,4576,4585,4485,4267,3858,3187,2320,1416,686,294,110,39,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Enfield,65,1,2,4,8,16,31,62,123,233,445,800,1325,1991,2563,2923,3109,3139,3110,3007,2801,2447,1922,1254,678,310,109,48,16,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Greenwich,75,1,2,4,8,16,32,62,123,243,462,846,1452,2196,2880,3344,3570,3623,3607,3497,3284,2899,2294,1549,862,390,148,65,20,10,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Hackney,175,1,2,4,8,16,32,64,128,252,491,944,1733,3019,4678,6337,7567,8179,8414,8423,8226,7795,7012,5725,4062,2395,1149,505,206,73,31,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Hammersmith and Fulham,105,1,2,4,8,16,32,64,125,247,478,885,1540,2470,3524,4330,4832,5039,5068,4979,4763,4359,3706,2775,1717,903,386,147,57,24,9,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Haringey,70,1,2,4,8,16,32,64,125,240,452,821,1379,2054,2698,3121,3315,3373,3346,3248,3040,2674,2118,1441,793,362,152,62,28,11,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Harrow,45,1,2,4,8,16,32,64,125,242,450,766,1212,1646,1955,2113,2175,2168,2116,2004,1799,1482,1036,600,287,121,43,18,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Havering,60,1,2,4,8,16,32,63,126,242,459,811,1309,1938,2443,2727,2860,2891,2851,2746,2538,2185,1687,1058,549,257,108,46,23,12,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Hillingdon,85,1,2,4,8,16,32,63,122,240,466,856,1480,2307,3114,3686,3973,4083,4087,3996,3781,3393,2768,1939,1128,548,245,104,41,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Hounslow,80,1,2,4,8,16,32,64,126,248,478,882,1495,2291,3044,3548,3804,3860,3849,3741,3517,3115,2503,1705,948,436,164,76,25,11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Islington,205,1,2,4,8,16,32,64,128,252,501,962,1789,3124,4974,6972,8536,9457,9839,9894,9712,9274,8453,7120,5266,3261,1681,728,282,103,36,12,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Kensington and Chelsea,120,1,2,4,8,16,32,63,125,241,468,870,1556,2555,3758,4757,5402,5706,5786,5726,5521,5125,4438,3439,2232,1225,564,229,87,31,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Kingston upon Thames,65,1,2,4,8,16,32,64,128,248,466,849,1391,2019,2590,2931,3090,3141,3105,2997,2782,2399,1856,1227,652,303,128,45,17,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Lambeth,140,1,2,4,8,16,31,61,122,239,458,860,1588,2632,3986,5320,6164,6602,6746,6706,6523,6134,5408,4364,3006,1664,805,337,132,55,19,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Lewisham,70,1,2,4,8,15,30,60,119,229,441,796,1355,2056,2672,3110,3325,3376,3354,3256,3051,2700,2142,1439,819,374,144,63,26,14,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Merton,45,1,2,4,8,16,31,62,119,232,431,740,1174,1602,1925,2096,2170,2171,2124,2013,1817,1508,1074,644,317,138,49,17,7,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Newham,50,1,2,4,8,16,32,63,125,245,447,780,1242,1730,2108,2319,2400,2414,2365,2250,2051,1717,1255,765,383,164,67,22,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Redbridge,55,1,2,4,8,16,32,63,122,236,445,815,1324,1860,2280,2539,2647,2661,2617,2507,2304,1933,1424,886,462,195,71,26,11,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Richmond upon Thames,125,1,2,4,8,16,32,64,127,249,481,913,1640,2725,3971,5056,5702,5987,6047,5972,5758,5333,4606,3519,2271,1178,516,199,76,29,11,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Southwark,175,1,2,4,8,16,32,64,128,252,496,947,1744,3011,4688,6343,7530,8179,8423,8421,8220,7789,6998,5734,4053,2391,1188,507,199,77,34,13,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Sutton,55,1,2,4,8,16,32,64,128,245,459,813,1301,1832,2270,2510,2630,2651,2610,2501,2291,1936,1447,914,472,224,88,35,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Tower Hamlets,120,1,2,4,8,16,32,64,128,250,485,898,1591,2645,3829,4850,5470,5750,5805,5721,5502,5099,4405,3350,2162,1133,497,185,66,28,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Waltham Forest,45,1,2,4,8,16,32,64,124,236,444,765,1199,1641,1954,2122,2170,2169,2120,2011,1806,1484,1049,605,288,112,48,17,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Wandsworth,130,1,2,4,8,16,32,64,127,250,489,925,1653,2750,4017,5151,5870,6198,6268,6205,6001,5568,4843,3746,2475,1333,598,238,105,45,10,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Westminster,425,1,2,4,8,16,32,64,128,253,499,978,1889,3537,6284,10079,14254,17666,19547,20359,20493,20174,19317,17691,14948,11149,6958,3515,1571,634,254,93,38,14,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
